SKU Code,Location,Qty
300836370003,WD48,0.000
300836370004,WD48,0.000
300836551008,WD48,0.000
300836581002,WD48,0.000
300836581003,WD48,0.000
300836581012,WD48,0.000
300836902008,WD48,0.000
300836908008,WD48,0.000
300836911001,WD48,0.000
300836911002,WD48,0.000
300836911003,WD48,0.000
300836911004,WD48,0.000
300836911011,WD48,0.000
300836911012,WD48,0.000
300836913001,WD48,0.000
300836913002,WD48,0.000
300836913003,WD48,0.000
300836913004,WD48,0.000
300836913011,WD48,0.000
300836913012,WD48,0.000
300836915001,WD48,0.000
300836915002,WD48,0.000
300836915003,WD48,0.000
300836915004,WD48,0.000
300836915011,WD48,0.000
300836915012,WD48,0.000
300836916001,WD48,0.000
300836916003,WD48,0.000
300836916004,WD48,0.000
300836916005,WD48,0.000
300836916006,WD48,0.000
300836917001,WD48,0.000
300836917003,WD48,0.000
300836917004,WD48,0.000
300836917005,WD48,0.000
300836917006,WD48,0.000
300836917007,WD48,0.000
300837195006,WD48,0.000
300837229008,WD48,0.000
300837231008,WD48,0.000
300837234008,WD48,0.000
300837430002,WD48,0.000
300837432001,WD48,0.000
300837432002,WD48,0.000
300837908001,WD48,0.000
300837908002,WD48,0.000
300837908003,WD48,0.000
300837908004,WD48,0.000
300837908005,WD48,0.000
300837908006,WD48,0.000
300837909001,WD48,0.000
300837909004,WD48,0.000
300837909005,WD48,0.000
300837964007,WD48,0.000
300837966007,WD48,0.000
300837967007,WD48,0.000
300840931001,WD48,0.000
300840931003,WD48,0.000
300840931005,WD48,0.000
300840933001,WD48,0.000
300840933003,WD48,0.000
300840933005,WD48,0.000
300841248003,WD48,0.000
300841353003,WD48,0.000
300841353005,WD48,0.000
300841435001,WD48,0.000
300841435003,WD48,0.000
300841435005,WD48,0.000
300841475004,WD48,0.000
300841475008,WD48,0.000
300841475012,WD48,0.000
300841476004,WD48,0.000
300841476008,WD48,0.000
300841478004,WD48,0.000
300841478008,WD48,0.000
300841479004,WD48,0.000
300841480004,WD48,0.000
300841662006,WD48,0.000
300841681001,WD48,0.000
300841681003,WD48,0.000
300841681004,WD48,0.000
300841681005,WD48,0.000
300841681006,WD48,0.000
300841688001,WD48,0.000
300841688003,WD48,0.000
300841688005,WD48,0.000
300841728005,WD48,0.000
300841728010,WD48,0.000
300841728015,WD48,0.000
300841728020,WD48,0.000
300841828001,WD48,0.000
300841828003,WD48,0.000
300841828005,WD48,0.000
300841828006,WD48,0.000
300841848001,WD48,0.000
300841848003,WD48,0.000
300841848005,WD48,0.000
300841849001,WD48,0.000
300841849003,WD48,0.000
300841849005,WD48,0.000
300842234002,WD48,0.000
300842234003,WD48,0.000
300842234004,WD48,0.000
300842234005,WD48,0.000
300842505001,WD48,0.000
300842505002,WD48,0.000
300842505003,WD48,0.000
300842505004,WD48,0.000
300842505005,WD48,0.000
300842505006,WD48,0.000
300842505007,WD48,0.000
300842505008,WD48,0.000
300842505009,WD48,0.000
300842505010,WD48,0.000
300842505011,WD48,0.000
300842505012,WD48,0.000
300842505013,WD48,0.000
300842505014,WD48,0.000
300842505015,WD48,0.000
300842509005,WD48,0.000
300842511005,WD48,0.000
300842632005,WD48,0.000
300842633005,WD48,0.000
300842634005,WD48,0.000
300842635005,WD48,0.000
300842636005,WD48,0.000
300842648005,WD48,0.000
300842648010,WD48,0.000
300842648015,WD48,0.000
300842648020,WD48,0.000
300842654001,WD48,0.000
300842654002,WD48,0.000
300842654003,WD48,0.000
300842654004,WD48,0.000
300842654005,WD48,0.000
300842799005,WD48,0.000
300842800005,WD48,0.000
300842896005,WD48,0.000
300842896006,WD48,0.000
300842896007,WD48,0.000
300842896008,WD48,0.000
300842900005,WD48,0.000
300842900006,WD48,0.000
300842900011,WD48,0.000
300842900012,WD48,0.000
300842900017,WD48,0.000
300842900018,WD48,0.000
300842900023,WD48,0.000
300842900024,WD48,0.000
300842914006,WD48,0.000
300842918006,WD48,0.000
300842919012,WD48,0.000
300842919018,WD48,0.000
300842919024,WD48,0.000
300842935005,WD48,0.000
300842952006,WD48,0.000
300842952007,WD48,0.000
300842956001,WD48,0.000
300842956008,WD48,0.000
300842956009,WD48,95.000
300842956010,WD48,102.000
300842956011,WD48,73.000
300842956012,WD48,37.000
300842956013,WD48,8.000
300842956014,WD48,0.000
300843039005,WD48,0.000
300843039010,WD48,0.000
300843212005,WD48,0.000
300843212006,WD48,0.000
300843213005,WD48,0.000
300843213006,WD48,0.000
300843219005,WD48,0.000
300843360006,WD48,0.000
300843360007,WD48,0.000
300843363001,WD48,0.000
300843425009,WD48,0.000
300843425010,WD48,0.000
300843426004,WD48,0.000
300843426005,WD48,0.000
300843426009,WD48,0.000
300843426010,WD48,0.000
300843571001,WD48,0.000
300843571002,WD48,0.000
300843571003,WD48,0.000
300843571006,WD48,0.000
300843578002,WD48,0.000
300843578003,WD48,0.000
300843578004,WD48,0.000
300843578005,WD48,0.000
300843578006,WD48,0.000
300843646005,WD48,0.000
300843646006,WD48,0.000
300843647005,WD48,0.000
300843647006,WD48,0.000
300843647011,WD48,0.000
300843647012,WD48,0.000
300843716005,WD48,0.000
300843781001,WD48,0.000
300843781003,WD48,0.000
300843781004,WD48,0.000
300843781005,WD48,0.000
300843781006,WD48,0.000
300843881002,WD48,0.000
300843881004,WD48,0.000
300843882001,WD48,0.000
300843882002,WD48,0.000
300843884001,WD48,0.000
300843884002,WD48,0.000
300843884003,WD48,0.000
300843885001,WD48,0.000
300843885002,WD48,0.000
300843885004,WD48,0.000
300843886003,WD48,0.000
300843886004,WD48,0.000
300843887002,WD48,0.000
300843887003,WD48,0.000
300843887004,WD48,0.000
